"Elements","11-Na*","12-Mg*","13-Al*","14-Si*","16-S*","17-Cl*","19-K*","20-Ca*","26-Fe*","15-P","22-Ti","25-Mn","28-Ni","29-Cu","30-Zn","38-Sr","82-Pb"
"Jiu1_1",0.29,1.76,1.66,10.7,5.23,0.65,0.76,39.3,0.62,85,620,120,15,40,29,440,49
"Tot1_1",0.84,1.74,1.85,5.49,2.17,0.35,1.64,35.1,0.61,99600,840,170,14,27,164,420,59
"Tot1_2",0.2,0.96,1.03,4.55,12.9,0.11,0.12,37.9,0.39,1200,810,130,11,10,21,1040,65
"Tot1_3",0.45,1.62,2.97,11.6,4.75,0.38,1.71,26.4,1.64,51800,5010,360,18,35,108,460,69
"Tez1_1",0.29,0.68,1.26,5.58,9.89,0.45,0.1,41.6,0.38,85,540,270,3,8,12,1430,62
"Tez1_2",0.32,0.74,1.47,6.57,8.67,0.51,0.15,41.6,0.55,85,660,310,6,9,15,1310,152
"Tez2_1",1.26,2.79,1.91,7,1.83,1.32,0.18,48.8,0.39,85,600,190,9,19,12,900,49
"Tez2_2",1.71,2.9,2.3,9.77,2.58,1.36,0.26,42,0.5,85,520,310,14,31,44,1080,49
"Cua1_1",0.36,1.57,2.66,8.32,0.22,0.03,0.14,51.7,0.57,85,810,330,25,14,14,8580,21
"Cua1_2",0.36,1.68,2.71,8.38,0.18,0.02,0.12,51.5,0.51,85,820,240,20,10,14,6550,1
"Ca1_1",0.3,3.17,4.61,17.6,0.39,0.06,0.38,31.8,1.15,170,2070,330,26,22,18,560,15
"Ca1_2",0.15,3.4,4.12,16,0.41,0.05,0.29,34.6,1.41,85,1980,630,32,6,34,430,2
"CA2_1",0.51,3.03,4.52,16.4,0.9,0.08,0.34,33.1,0.99,85,1330,600,23,4,69,160,9
"CA2_2",0.64,2.96,5.8,20.6,0.66,0.07,0.59,24.2,1.74,430,2340,550,17,6,16,100,2
"CA2_3",0.29,3.19,4.51,16.3,0.43,0.07,0.32,34.2,0.75,85,2340,260,9,2,8,160,5
"CA2_4",0.44,3.22,4.8,17.1,0.47,0.05,0.39,32.3,0.76,85,2310,150,14,5,14,210,7
"CA3_1",0.49,1.39,3.98,11.6,0.51,0.09,0.29,43.5,0.93,1300,2140,360,16,4,14,160,4
"CA3_2",0.7,1.37,3.62,11.7,1,0.07,0.6,42.2,0.97,1700,4560,320,12,10,23,270,7
"Ca4_1",0.29,1.64,2.74,10.5,0.84,0.08,0.31,46.1,0.79,940,4580,380,22,7,25,1180,4
"Ca4_2",0.33,1.46,3.08,11.2,0.52,0.07,0.24,45.5,0.78,1260,3300,580,18,11,26,850,18
"Cec1_1",0.23,6.24,3.69,22.8,1.32,0.11,0.71,17.5,2.27,85,2110,9120,30,12,60,1170,7
"Cec1_2",0.11,8.6,2.81,22.5,0.18,0.11,0.58,19.9,1.54,85,1820,4790,23,14,48,1260,18
"Cec1_3",0.56,9.3,5.29,30.7,0.19,0.06,1.05,2.88,1.32,85,1320,1980,21,21,87,490,10
"Cec1_4",0.22,8.4,4.54,29.6,0.32,0.06,1.01,6.07,1.54,85,1870,6730,26,21,88,810,17
"Cec2_1",0.2,6.82,3.5,23.2,1.08,0.11,0.71,17.8,1.67,85,1600,8630,29,16,57,1190,13
"Cec2_2",0.14,8.51,2.85,23.3,0.65,0.1,0.63,16.6,2.22,85,3880,7170,28,16,53,1300,13
"TAM1_1",0.29,2.25,4.08,12.8,0.15,0.02,0.26,41.1,1.49,850,1370,250,15,3,12,500,6
"TAM1_2",0.19,1.35,3.25,10.5,0.22,0.005,0.2,47.3,1.19,850,1040,150,12,5,8,300,5
"TAJ1_1",1.49,0.67,7.43,16.5,0.16,0.07,0.43,31.7,1.38,85,1040,280,22,1,15,740,10
"TAJ1_2",0.2,1.26,2.48,8,0.1,0.005,0.06,53.1,0.54,1530,850,170,9,3,10,90,3
"TAJ1_3",0.19,3.37,4.9,17.9,0.06,0.01,0.27,31.9,0.76,590,1470,140,12,5,8,110,1
"TAJ1_4",0.43,0.38,2.1,5.1,0.09,0.22,0.36,57.8,1.18,690,1600,240,29,17,21,570,1
"TAC1_1",0.56,1.73,4.9,17.9,0.36,0.02,0.9,27.2,5.18,1000,3920,900,154,12,52,270,1
"TAM1_1",0.4,0.98,3.95,10.2,0.14,0.005,0.14,47.4,0.86,1320,1310,250,11,4,12,320,1
"TAM1_2",0.41,0.89,3.32,8.76,0.16,0.01,0.14,50.7,0.61,1340,1250,200,14,3,6,340,4
